<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
08.01.2013;100000;909.00000;918.00000;907.80000;914.60000
08.01.2013;101500;914.60000;916.30000;911.00000;911.00000
08.01.2013;103000;909.80000;911.00000;909.80000;911.00000
08.01.2013;104500;910.00000;910.00000;883.10000;904.00000
08.01.2013;110000;906.30000;906.30000;902.70000;906.00000
08.01.2013;111500;906.10000;906.10000;905.00000;906.00000
08.01.2013;113000;903.80000;908.80000;903.70000;906.10000
08.01.2013;114500;906.50000;908.20000;906.00000;907.80000
08.01.2013;120000;906.10000;907.40000;906.10000;907.40000
08.01.2013;121500;907.50000;908.90000;907.50000;908.90000
08.01.2013;123000;908.10000;908.90000;908.00000;908.00000
08.01.2013;124500;908.00000;908.90000;907.30000;908.90000
08.01.2013;130000;908.00000;908.70000;908.00000;908.70000
08.01.2013;131500;908.00000;908.90000;908.00000;908.90000
08.01.2013;134500;908.80000;912.90000;908.80000;909.50000
08.01.2013;140000;909.20000;909.20000;909.10000;909.10000
08.01.2013;141500;909.20000;910.30000;909.00000;910.20000
08.01.2013;143000;908.90000;910.10000;908.90000;910.10000
08.01.2013;144500;910.20000;910.90000;908.80000;908.80000
08.01.2013;150000;908.80000;908.80000;907.30000;908.80000
08.01.2013;151500;907.40000;908.80000;907.40000;908.80000
08.01.2013;153000;908.80000;908.80000;906.10000;908.60000
08.01.2013;154500;908.50000;908.80000;908.50000;908.80000
08.01.2013;160000;908.00000;908.50000;908.00000;908.50000
08.01.2013;161500;908.10000;911.00000;907.10000;911.00000
08.01.2013;163000;910.80000;912.60000;908.40000;911.60000
08.01.2013;164500;910.90000;932.00000;910.00000;925.00000
08.01.2013;170000;930.70000;930.90000;926.00000;927.90000
08.01.2013;171500;926.20000;927.80000;922.50000;926.80000
08.01.2013;173000;924.10000;926.80000;924.10000;926.80000
08.01.2013;174500;926.50000;931.50000;926.50000;929.00000
08.01.2013;180000;927.30000;929.00000;925.30000;928.40000
08.01.2013;181500;928.40000;928.50000;923.30000;925.60000
08.01.2013;183000;923.10000;927.10000;918.10000;926.80000
09.01.2013;100000;918.10000;924.00000;918.00000;918.00000
09.01.2013;101500;918.10000;923.40000;918.00000;922.20000
09.01.2013;103000;922.30000;923.80000;922.00000;923.80000
09.01.2013;104500;923.10000;923.10000;922.00000;922.00000
09.01.2013;110000;922.00000;923.50000;922.00000;923.50000
09.01.2013;111500;922.00000;922.80000;920.50000;922.80000
09.01.2013;113000;922.60000;922.60000;922.60000;922.60000
09.01.2013;114500;920.70000;922.60000;920.40000;922.00000
09.01.2013;120000;922.00000;922.90000;922.00000;922.20000
09.01.2013;121500;922.30000;923.00000;922.20000;922.90000
09.01.2013;123000;922.20000;922.20000;922.20000;922.20000
09.01.2013;124500;922.00000;923.40000;922.00000;923.40000
09.01.2013;130000;922.50000;922.60000;922.00000;922.10000
09.01.2013;131500;922.40000;922.40000;922.40000;922.40000
09.01.2013;133000;922.40000;922.40000;922.00000;922.00000
09.01.2013;134500;922.90000;923.50000;922.90000;923.50000
09.01.2013;140000;923.40000;925.10000;923.40000;924.80000
09.01.2013;141500;924.80000;926.70000;924.40000;926.60000
09.01.2013;143000;924.10000;925.90000;922.40000;925.90000
09.01.2013;144500;924.10000;925.00000;924.10000;925.00000
09.01.2013;150000;925.00000;944.00000;925.00000;943.80000
09.01.2013;151500;940.00000;943.70000;935.80000;941.90000
09.01.2013;153000;941.70000;943.50000;939.10000;943.20000
09.01.2013;154500;941.10000;944.00000;941.00000;942.00000
09.01.2013;160000;942.00000;969.00000;940.30000;963.90000
09.01.2013;161500;964.00000;977.00000;957.40000;972.50000
09.01.2013;163000;967.30000;972.00000;965.40000;970.10000
09.01.2013;164500;970.50000;997.00000;970.00000;993.90000
09.01.2013;170000;993.80000;997.00000;983.00000;992.20000
09.01.2013;171500;992.00000;995.90000;988.00000;990.00000
09.01.2013;173000;990.10000;990.90000;981.90000;983.50000
09.01.2013;174500;983.30000;986.80000;982.30000;982.40000
09.01.2013;180000;982.40000;982.40000;966.70000;972.40000
09.01.2013;181500;971.90000;975.00000;968.50000;972.00000
09.01.2013;183000;974.60000;979.90000;960.90000;972.50000
10.01.2013;100000;972.90000;976.70000;963.80000;966.70000
10.01.2013;101500;968.40000;968.40000;953.30000;955.50000
10.01.2013;103000;959.00000;972.50000;959.00000;971.00000
10.01.2013;104500;971.30000;971.30000;957.20000;961.10000
10.01.2013;110000;963.60000;974.00000;961.00000;974.00000
10.01.2013;111500;973.90000;974.00000;972.10000;972.10000
10.01.2013;113000;970.40000;973.70000;963.60000;971.70000
10.01.2013;114500;969.60000;971.00000;969.60000;969.60000
10.01.2013;120000;967.90000;969.70000;965.00000;969.50000
10.01.2013;121500;967.30000;969.00000;963.10000;966.90000
10.01.2013;123000;965.30000;970.00000;963.10000;969.40000
10.01.2013;124500;968.00000;969.40000;967.40000;969.40000
10.01.2013;130000;968.00000;975.00000;967.10000;974.10000
10.01.2013;131500;974.00000;975.90000;972.00000;975.00000
10.01.2013;133000;973.10000;974.20000;967.30000;970.50000
10.01.2013;134500;971.70000;985.00000;967.00000;978.00000
10.01.2013;140000;977.70000;981.80000;977.00000;980.30000
10.01.2013;141500;979.00000;992.60000;976.30000;990.00000
10.01.2013;143000;990.00000;1024.50000;987.00000;1017.90000
10.01.2013;144500;1017.90000;1018.00000;1005.30000;1007.30000
10.01.2013;150000;1007.20000;1034.80000;1007.10000;1027.20000
10.01.2013;151500;1027.70000;1030.00000;1025.00000;1026.00000
10.01.2013;153000;1026.00000;1027.80000;1007.20000;1016.00000
10.01.2013;154500;1012.60000;1014.50000;1011.00000;1013.80000
10.01.2013;160000;1011.10000;1021.80000;1011.00000;1016.90000
10.01.2013;161500;1015.00000;1016.70000;1010.50000;1012.70000
10.01.2013;163000;1012.90000;1015.50000;1010.50000;1013.00000
10.01.2013;164500;1013.80000;1013.80000;1011.10000;1013.50000
10.01.2013;170000;1012.50000;1012.50000;1003.00000;1003.00000
10.01.2013;171500;1003.00000;1006.80000;1002.00000;1006.60000
10.01.2013;173000;1006.60000;1006.60000;1003.00000;1005.50000
10.01.2013;174500;1003.70000;1013.90000;1003.10000;1012.30000
10.01.2013;180000;1012.40000;1017.00000;1003.00000;1003.10000
10.01.2013;181500;1004.90000;1004.90000;999.90000;999.90000
10.01.2013;183000;999.90000;1000.00000;991.00000;995.00000
11.01.2013;100000;995.70000;1007.00000;995.00000;1002.90000
11.01.2013;101500;1000.00000;1029.30000;990.00000;1029.30000
11.01.2013;103000;1029.80000;1031.80000;1010.70000;1020.00000
11.01.2013;104500;1020.00000;1028.80000;1019.00000;1025.00000
11.01.2013;110000;1023.80000;1023.80000;1007.00000;1009.00000
11.01.2013;111500;1008.90000;1020.00000;1007.20000;1010.50000
11.01.2013;113000;1010.50000;1013.00000;1009.00000;1009.00000
11.01.2013;114500;1009.90000;1009.90000;1005.00000;1005.40000
11.01.2013;120000;1005.40000;1009.70000;1004.00000;1007.00000
11.01.2013;121500;1007.00000;1008.60000;1005.90000;1007.70000
11.01.2013;123000;1005.20000;1009.00000;1002.00000;1002.00000
11.01.2013;124500;1002.10000;1005.70000;1002.00000;1005.00000
11.01.2013;130000;1005.10000;1006.30000;1003.10000;1003.10000
11.01.2013;131500;1003.00000;1006.50000;1002.30000;1006.40000
11.01.2013;133000;1006.40000;1006.40000;1004.10000;1005.40000
11.01.2013;134500;1004.20000;1005.40000;1003.00000;1003.00000
11.01.2013;140000;1003.00000;1005.30000;1003.00000;1005.00000
11.01.2013;141500;1003.60000;1003.70000;1003.60000;1003.60000
11.01.2013;143000;1003.50000;1004.90000;1002.30000;1004.00000
11.01.2013;144500;1004.00000;1004.80000;1001.00000;1003.10000
11.01.2013;150000;1003.10000;1005.00000;1000.00000;1005.00000
11.01.2013;151500;1002.00000;1004.60000;1000.00000;1001.60000
11.01.2013;153000;1001.00000;1001.00000;997.00000;1000.10000
11.01.2013;154500;999.70000;999.70000;998.00000;999.50000
11.01.2013;160000;998.10000;999.00000;996.00000;998.30000
11.01.2013;161500;998.00000;999.60000;998.00000;999.60000
11.01.2013;163000;997.50000;998.00000;996.00000;997.80000
11.01.2013;164500;996.10000;997.70000;996.00000;997.70000
11.01.2013;170000;997.20000;998.00000;996.00000;997.80000
11.01.2013;171500;997.80000;997.80000;996.00000;997.60000
11.01.2013;173000;996.00000;997.60000;991.00000;991.80000
11.01.2013;174500;992.00000;996.00000;986.00000;988.90000
11.01.2013;180000;990.00000;992.00000;985.90000;986.00000
11.01.2013;181500;986.00000;994.90000;985.00000;993.40000
11.01.2013;183000;992.50000;992.50000;986.40000;991.00000
14.01.2013;100000;995.10000;998.70000;995.00000;996.90000
14.01.2013;101500;995.10000;996.70000;995.00000;995.00000
14.01.2013;103000;996.70000;996.70000;991.00000;993.10000
14.01.2013;104500;991.10000;993.20000;987.20000;990.60000
14.01.2013;110000;990.00000;996.80000;990.00000;996.50000
14.01.2013;111500;996.30000;996.70000;992.00000;996.10000
14.01.2013;113000;996.10000;997.60000;996.00000;996.40000
14.01.2013;114500;996.00000;1010.00000;995.90000;1009.90000
14.01.2013;120000;1009.90000;1010.00000;1003.00000;1006.70000
14.01.2013;121500;1006.60000;1006.70000;1004.30000;1006.70000
14.01.2013;123000;1004.50000;1009.30000;1004.20000;1007.90000
14.01.2013;124500;1006.10000;1008.50000;1003.30000;1008.50000
14.01.2013;130000;1005.90000;1008.40000;999.00000;1007.90000
14.01.2013;131500;1002.10000;1004.40000;999.60000;1001.70000
14.01.2013;133000;1000.00000;1002.80000;1000.00000;1001.90000
14.01.2013;134500;1000.60000;1001.90000;996.10000;998.80000
14.01.2013;140000;998.80000;999.00000;990.50000;997.60000
14.01.2013;141500;994.70000;996.90000;992.90000;995.00000
14.01.2013;143000;995.00000;995.10000;993.50000;995.00000
14.01.2013;144500;995.10000;996.00000;995.00000;995.90000
14.01.2013;150000;995.80000;995.80000;994.00000;994.00000
14.01.2013;151500;994.00000;995.80000;992.80000;994.60000
14.01.2013;153000;993.20000;995.60000;991.40000;995.50000
14.01.2013;154500;993.60000;995.30000;991.00000;993.90000
14.01.2013;160000;994.20000;994.20000;992.30000;994.20000
14.01.2013;161500;992.30000;995.00000;992.00000;995.00000
14.01.2013;163000;993.30000;995.00000;993.30000;995.00000
14.01.2013;164500;995.00000;995.50000;993.10000;995.10000
14.01.2013;170000;993.00000;995.10000;992.50000;995.10000
14.01.2013;171500;994.90000;994.90000;994.70000;994.70000
14.01.2013;173000;994.80000;995.00000;994.80000;995.00000
14.01.2013;174500;994.80000;995.70000;980.00000;988.00000
14.01.2013;180000;987.00000;991.00000;984.00000;990.00000
14.01.2013;181500;986.10000;989.60000;984.20000;987.90000
14.01.2013;183000;989.50000;990.00000;987.00000;989.60000
15.01.2013;100000;990.00000;994.00000;989.60000;990.00000
15.01.2013;101500;991.00000;995.80000;990.20000;995.30000
15.01.2013;103000;995.20000;1006.00000;995.20000;1000.00000
15.01.2013;104500;998.00000;1000.00000;995.20000;1000.00000
15.01.2013;110000;996.10000;1001.20000;995.10000;1000.00000
15.01.2013;111500;1000.00000;1002.20000;1000.00000;1000.00000
15.01.2013;113000;998.10000;1002.00000;998.10000;1001.50000
15.01.2013;114500;999.60000;1002.70000;999.60000;1001.80000
15.01.2013;120000;999.30000;1001.60000;997.00000;1000.10000
15.01.2013;121500;998.70000;1000.00000;996.50000;998.80000
15.01.2013;123000;997.00000;999.30000;995.40000;999.00000
15.01.2013;124500;998.90000;998.90000;997.70000;997.70000
15.01.2013;130000;998.00000;1007.00000;995.10000;1004.90000
15.01.2013;131500;1002.60000;1004.40000;1000.00000;1004.40000
15.01.2013;133000;1002.70000;1003.00000;1000.00000;1002.50000
15.01.2013;134500;1001.80000;1002.70000;1001.70000;1002.70000
15.01.2013;140000;1002.70000;1002.70000;998.00000;1000.00000
15.01.2013;141500;1000.00000;1000.00000;999.60000;1000.00000
15.01.2013;143000;999.80000;1000.00000;998.40000;1000.00000
15.01.2013;144500;1000.00000;1000.00000;998.20000;1000.00000
15.01.2013;150000;1000.00000;1000.00000;999.90000;999.90000
15.01.2013;151500;998.20000;999.90000;997.50000;998.00000
15.01.2013;153000;997.90000;997.90000;997.90000;997.90000
15.01.2013;154500;997.60000;998.00000;996.00000;997.90000
15.01.2013;160000;997.80000;998.00000;997.80000;998.00000
15.01.2013;161500;997.90000;997.90000;996.50000;997.90000
15.01.2013;163000;997.80000;997.90000;995.00000;997.80000
15.01.2013;164500;997.90000;998.00000;996.50000;998.00000
15.01.2013;170000;997.80000;997.90000;994.00000;997.20000
15.01.2013;171500;994.50000;996.70000;982.10000;987.40000
15.01.2013;173000;986.90000;989.30000;982.60000;989.30000
15.01.2013;174500;988.00000;997.90000;988.00000;994.80000
15.01.2013;180000;993.70000;994.70000;992.10000;992.50000
15.01.2013;181500;994.50000;994.50000;990.00000;993.60000
15.01.2013;183000;991.00000;991.00000;980.00000;989.00000
16.01.2013;100000;990.10000;996.90000;990.00000;996.90000
16.01.2013;101500;995.70000;995.90000;992.00000;992.00000
16.01.2013;103000;992.00000;992.20000;992.00000;992.20000
16.01.2013;104500;992.20000;997.00000;992.20000;997.00000
16.01.2013;110000;996.90000;1005.00000;996.90000;1005.00000
16.01.2013;111500;1004.90000;1007.00000;999.20000;1001.10000
16.01.2013;113000;999.00000;999.00000;992.00000;996.00000
16.01.2013;114500;996.00000;996.70000;994.80000;996.50000
16.01.2013;120000;995.00000;996.90000;992.80000;995.00000
16.01.2013;121500;995.90000;997.00000;995.90000;997.00000
16.01.2013;123000;997.10000;997.10000;993.10000;993.60000
16.01.2013;124500;993.80000;993.80000;993.00000;993.30000
16.01.2013;130000;994.70000;1004.00000;994.70000;997.10000
16.01.2013;131500;999.70000;1003.00000;998.20000;1000.60000
16.01.2013;133000;1001.00000;1001.00000;995.00000;997.10000
16.01.2013;134500;997.50000;998.10000;997.20000;997.40000
16.01.2013;140000;997.50000;997.50000;997.10000;997.50000
