<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
08.01.2013;100000;0.74590;0.75430;0.74510;0.75020
08.01.2013;101500;0.75030;0.75280;0.75020;0.75220
08.01.2013;103000;0.75230;0.75270;0.75130;0.75130
08.01.2013;104500;0.75140;0.75300;0.75130;0.75300
08.01.2013;110000;0.75300;0.75500;0.75260;0.75390
08.01.2013;111500;0.75380;0.75440;0.75260;0.75340
08.01.2013;113000;0.75330;0.75420;0.75330;0.75410
08.01.2013;114500;0.75410;0.75550;0.75400;0.75500
08.01.2013;120000;0.75470;0.75500;0.75400;0.75410
08.01.2013;121500;0.75410;0.75900;0.75400;0.75810
08.01.2013;123000;0.75800;0.75870;0.75570;0.75800
08.01.2013;124500;0.75800;0.75900;0.75400;0.75430
08.01.2013;130000;0.75440;0.75500;0.75060;0.75180
08.01.2013;131500;0.75190;0.75390;0.75160;0.75230
08.01.2013;133000;0.75230;0.75280;0.75150;0.75150
08.01.2013;134500;0.75150;0.75200;0.75110;0.75160
08.01.2013;140000;0.75160;0.75300;0.75130;0.75210
08.01.2013;141500;0.75290;0.75320;0.75210;0.75320
08.01.2013;143000;0.75250;0.75320;0.75220;0.75220
08.01.2013;144500;0.75280;0.75290;0.75140;0.75150
08.01.2013;150000;0.75140;0.75190;0.74930;0.75000
08.01.2013;151500;0.75000;0.75200;0.74980;0.75040
08.01.2013;153000;0.75010;0.75190;0.75000;0.75150
08.01.2013;154500;0.75150;0.75330;0.75130;0.75220
08.01.2013;160000;0.75230;0.75230;0.75100;0.75100
08.01.2013;161500;0.75100;0.75200;0.75040;0.75180
08.01.2013;163000;0.75130;0.75150;0.75120;0.75150
08.01.2013;164500;0.75150;0.75200;0.75020;0.75090
08.01.2013;170000;0.75120;0.75220;0.75100;0.75160
08.01.2013;171500;0.75210;0.75220;0.75120;0.75130
08.01.2013;173000;0.75190;0.75190;0.74810;0.74840
08.01.2013;174500;0.74840;0.74880;0.74640;0.74750
08.01.2013;180000;0.74710;0.74800;0.74600;0.74740
08.01.2013;181500;0.74680;0.74720;0.74180;0.74180
08.01.2013;183000;0.74190;0.74500;0.73700;0.74070
09.01.2013;100000;0.74000;0.74450;0.73860;0.74350
09.01.2013;101500;0.74350;0.74440;0.74170;0.74400
09.01.2013;103000;0.74400;0.74480;0.74210;0.74350
09.01.2013;104500;0.74350;0.74390;0.74300;0.74340
09.01.2013;110000;0.74350;0.74420;0.74280;0.74330
09.01.2013;111500;0.74330;0.74340;0.74100;0.74130
09.01.2013;113000;0.74150;0.74150;0.73940;0.74120
09.01.2013;114500;0.74120;0.74250;0.74050;0.74190
09.01.2013;120000;0.74230;0.74390;0.74170;0.74330
09.01.2013;121500;0.74390;0.74420;0.74280;0.74340
09.01.2013;123000;0.74400;0.74600;0.74340;0.74500
09.01.2013;124500;0.74510;0.74530;0.74450;0.74480
09.01.2013;130000;0.74490;0.74490;0.74320;0.74350
09.01.2013;131500;0.74350;0.74430;0.74290;0.74410
09.01.2013;133000;0.74410;0.74410;0.74310;0.74320
09.01.2013;134500;0.74350;0.74370;0.73910;0.74220
09.01.2013;140000;0.74200;0.74210;0.74000;0.74070
